Date,SnP_Close,SnP_Volume
"Jun 03, 2021","4,192.85","5,587,970,000"
"Jun 02, 2021","4,208.12","5,833,670,000"
"Jun 01, 2021","4,202.04","5,074,670,000"
"May 28, 2021","4,204.11","4,649,250,000"
"May 27, 2021","4,200.88","6,406,310,000"
"May 26, 2021","4,195.99","4,420,890,000"
"May 25, 2021","4,188.13","4,182,250,000"
"May 24, 2021","4,197.05","3,684,800,000"
"May 21, 2021","4,155.86","3,995,250,000"
"May 20, 2021","4,159.12","3,978,880,000"
"May 19, 2021","4,115.68","4,247,450,000"
"May 18, 2021","4,127.83","4,398,150,000"
"May 17, 2021","4,163.29","4,125,050,000"
"May 14, 2021","4,173.85","4,008,880,000"
"May 13, 2021","4,112.50","4,779,540,000"
"May 12, 2021","4,063.04","4,733,070,000"
"May 11, 2021","4,152.10","4,870,710,000"
"May 10, 2021","4,188.43","4,560,700,000"
"May 07, 2021","4,232.60","4,016,080,000"
"May 06, 2021","4,201.62","4,511,000,000"
"May 05, 2021","4,167.59","4,230,920,000"
"May 04, 2021","4,164.66","4,452,460,000"
"May 03, 2021","4,192.66","4,070,220,000"
"Apr 30, 2021","4,181.17","4,300,880,000"
"Apr 29, 2021","4,211.47","4,298,680,000"
"Apr 28, 2021","4,183.18","3,787,360,000"
"Apr 27, 2021","4,186.72","3,710,700,000"
"Apr 26, 2021","4,187.62","3,748,320,000"
"Apr 23, 2021","4,180.17","3,569,880,000"
"Apr 22, 2021","4,134.98","4,245,140,000"
"Apr 21, 2021","4,173.42","3,887,250,000"
"Apr 20, 2021","4,134.94","4,342,650,000"
"Apr 19, 2021","4,163.26","3,810,290,000"
"Apr 16, 2021","4,185.47","4,163,820,000"
"Apr 15, 2021","4,170.42","4,033,420,000"
"Apr 14, 2021","4,124.66","3,985,350,000"
"Apr 13, 2021","4,141.59","3,734,720,000"
"Apr 12, 2021","4,127.99","3,588,900,000"
"Apr 09, 2021","4,128.80","3,640,390,000"
"Apr 08, 2021","4,097.17","3,907,100,000"
"Apr 07, 2021","4,079.95","4,120,810,000"
"Apr 06, 2021","4,073.94","4,081,270,000"
"Apr 05, 2021","4,077.91","4,005,030,000"
"Apr 01, 2021","4,019.87","4,162,130,000"
"Mar 31, 2021","3,972.89","4,578,050,000"
"Mar 30, 2021","3,958.55","4,121,510,000"
"Mar 29, 2021","3,971.09","4,628,180,000"
"Mar 26, 2021","3,974.54","5,483,160,000"
"Mar 25, 2021","3,909.52","4,948,340,000"
"Mar 24, 2021","3,889.14","4,783,020,000"
"Mar 23, 2021","3,910.52","4,669,010,000"
"Mar 22, 2021","3,940.59","4,316,260,000"
"Mar 19, 2021","3,913.10","7,757,420,000"
"Mar 18, 2021","3,915.46","5,118,590,000"
