Date,SnP_Close,SnP_Volume,VIX,formatted_date,3MTbill,wti
4/6/2021,4073.94,4081270000,18.12,20210406,0.02,59.34
4/7/2021,4079.95,4120810000,17.16,20210407,0.02,59.77
4/8/2021,4097.17,3907100000,16.95,20210408,0.01,59.61
4/9/2021,4128.8,3640390000,16.69,20210409,0.02,59.29
4/12/2021,4127.99,3588900000,16.91,20210412,0.02,59.7
13/4/2021,4141.59,3734720000,16.65,20210413,0.03,60.2
14/4/2021,4124.66,3985350000,16.99,20210414,0.02,63.15
15/4/2021,4170.42,4033420000,16.57,20210415,0.02,63.42
16/4/2021,4185.47,4163820000,16.25,20210416,0.02,63.16
19/4/2021,4163.26,3810290000,17.29,20210419,0.02,63.33
20/4/2021,4134.94,4342650000,18.68,20210420,0.03,62.61
21/4/2021,4173.42,3887250000,17.5,20210421,0.03,61.34
22/4/2021,4134.98,4245140000,18.71,20210422,0.03,61.45
23/4/2021,4180.17,3569880000,17.33,20210423,0.03,62.18
26/4/2021,4187.62,3748320000,17.64,20210426,0.03,62.02
27/4/2021,4186.72,3710700000,17.56,20210427,0.01,63.03
28/4/2021,4183.18,3787360000,17.28,20210428,0.01,63.81
29/4/2021,4211.47,4298680000,17.61,20210429,0.01,65
30/4/2021,4181.17,4300880000,18.61,20210430,0.01,63.5
5/3/2021,4192.66,4070220000,18.31,20210503,0.04,64.46
5/4/2021,4164.66,4452460000,19.48,20210504,0.02,65.72
5/5/2021,4167.59,4230920000,19.15,20210505,0.02,65.63
5/6/2021,4201.62,4511000000,18.39,20210506,0.02,64.73
5/7/2021,4232.6,4016080000,16.69,20210507,0.02,64.96
5/10/2021,4188.43,4560700000,19.66,20210510,0.02,64.92
5/11/2021,4152.1,4870710000,21.84,20210511,0.01,65.31
5/12/2021,4063.04,4733070000,27.59,20210512,0.02,65.96
13/5/2021,4112.5,4779540000,23.13,20210513,0.02,63.82
14/5/2021,4173.85,4008880000,18.81,20210514,0.01,65.32
17/5/2021,4163.29,4125050000,19.72,20210517,0.02,66.24
18/5/2021,4127.83,4398150000,21.34,20210518,0.02,65.49
19/5/2021,4115.68,4247450000,22.18,20210519,0.01,63.28
20/5/2021,4159.12,3978880000,20.67,20210520,0.01,61.95
21/5/2021,4155.86,3995250000,20.15,20210521,0.01,63.61
24/5/2021,4197.05,3684800000,18.4,20210524,0.02,66.13
25/5/2021,4188.13,4182250000,18.84,20210525,0.02,66.27
26/5/2021,4195.99,4420890000,17.36,20210526,0.02,66.41
27/5/2021,4200.88,6406310000,16.74,20210527,0.02,66.87
28/5/2021,4204.11,4649250000,16.76,20210528,0.01,66.31
6/1/2021,4202.04,5074670000,17.9,20210601,0.02,67.8
6/2/2021,4208.12,5833670000,17.48,20210602,0.02,68.79
6/3/2021,4192.85,5587970000,18.04,20210603,0.02,68.81
6/4/2021,4229.89,4139790000,16.42,20210604,0.02,69.57
6/7/2021,4226.52,4476920000,16.42,20210607,0.02,69.21
6/8/2021,4227.26,4659620000,17.07,20210608,0.02,70.11
6/9/2021,4219.55,4713260000,17.89,20210609,0.03,69.9
6/10/2021,4239.18,4408210000,16.1,20210610,0.03,70.34
6/11/2021,4247.44,3815010000,15.65,20210611,0.03,71
14/6/2021,4255.15,4151200000,16.39,20210614,0.03,70.94
15/6/2021,4246.59,4048940000,17.02,20210615,0.03,72.06
16/6/2021,4223.7,4538350000,18.15,20210616,0.04,72.03
17/6/2021,4221.86,5312680000,17.75,20210617,0.04,71.06
18/6/2021,4166.45,6817010000,20.7,20210618,0.05,71.64
21/6/2021,4224.79,4128950000,17.89,20210621,0.05,73.64
22/6/2021,4246.44,3828390000,16.66,20210622,0.04,73.15
23/6/2021,4241.84,3730350000,16.32,20210623,0.05,73.11
24/6/2021,4266.49,3816660000,15.97,20210624,0.05,73.31
25/6/2021,4280.7,7341450000,15.62,20210625,0.06,74.21
28/6/2021,4290.61,4147890000,15.76,20210628,0.05,72.98
29/6/2021,4291.8,3707150000,16.02,20210629,0.04,73.14
30/6/2021,4297.5,4266040000,15.83,20210630,0.05,73.52
7/1/2021,4319.94,3788230000,15.48,20210701,0.05,75.33
7/2/2021,4352.34,3225840000,15.07,20210702,0.05,75.37
