Date,SnP_Close,SnP_Volume,VIX,formatted_date
06-09-2021,4219.55,4713260000,17.89,20210609
06-10-2021,4239.18,4408210000,16.1,20210610
06-11-2021,4247.44,3815010000,15.65,20210611
14-6-2021,4255.15,4151200000,16.39,20210614
15-6-2021,4246.59,4048940000,17.02,20210615
16-6-2021,4223.7,4538350000,18.15,20210616
17-6-2021,4221.86,5312680000,17.75,20210617
18-6-2021,4166.45,6817010000,20.7,20210618
21-6-2021,4224.79,4128950000,17.89,20210621
22-6-2021,4246.44,3828390000,16.66,20210622
23-6-2021,4241.84,3730350000,16.32,20210623
24-6-2021,4266.49,3816660000,15.97,20210624
25-6-2021,4280.7,7341450000,15.62,20210625
28-6-2021,4290.61,4147890000,15.76,20210628
29-6-2021,4291.8,3707150000,16.02,20210629
30-6-2021,4297.5,4266040000,15.83,20210630
07-01-2021,4319.94,3788230000,15.48,20210701
07-02-2021,4352.34,3225840000,15.07,20210702
07-06-2021,4343.54,4309570000,16.44,20210706
07-07-2021,4358.13,4037380000,16.2,20210707
07-08-2021,4320.82,4347500000,19,20210708
07-09-2021,4369.55,3531120000,16.18,20210709
07-12-2021,4384.63,3384460000,16.17,20210712
13-7-2021,4369.21,3695430000,17.12,20210713
14-7-2021,4374.3,4006370000,16.33,20210714
15-7-2021,4360.03,3905230000,17.01,20210715
16-7-2021,4327.16,3985700000,18.45,20210716
19-7-2021,4258.49,5157660000,22.5,20210719
20-7-2021,4323.06,4438270000,19.73,20210720
21-7-2021,4358.69,3810280000,17.91,20210721
22-7-2021,4367.48,3358300000,17.69,20210722
23-7-2021,4411.79,4540070000,17.2,20210723
26-7-2021,4422.3,4275630000,17.58,20210726
27-7-2021,4401.46,4241950000,19.36,20210727
28-7-2021,4400.64,4215290000,18.31,20210728
29-7-2021,4419.15,4044600000,17.7,20210729
30-7-2021,4395.26,3956740000,18.24,20210730
08-02-2021,4387.16,3724090000,19.46,20210802
08-03-2021,4423.15,3965190000,18.04,20210803
08-04-2021,4402.66,4260760000,17.97,20210804
08-05-2021,4429.1,3769410000,17.28,20210805
08-06-2021,4436.52,3451870000,16.15,20210806
08-09-2021,4432.35,3449280000,16.72,20210809
